xref	METACYC	UM-BBD-CPD	METABOLIGHTS	UNIPROT	NCI	LIGAND-MAP	DRUGBANK	SGD-PATHWAY	HMDB	ARACYC	ECOCYC	UM-BBD-PWY	CAS	PLANTCYC	KNAPSACK	BIGG	LIGAND-RXN	CHEMSPIDER	Wikipedia	PLASMOCYC	RHEA	LIGAND-CPD	REACTOME	PIR	CHEBI	PUBCHEM	HUMANCYC	KEGG-GLYCAN	LIPID_MAPS
ATPASE-RXN_xrefs				Q9WY41																									
ATPASE-RXN_xrefs				Q9X1B1																									
ATPASE-RXN_xrefs				P71404																									
ATPASE-RXN_xrefs				Q9Z8A6																									
ATPASE-RXN_xrefs				O83110																									
ATPASE-RXN_xrefs				P44403																									
ATPASE-RXN_xrefs				P0A522																									
ATPASE-RXN_xrefs				Q59185																									
ATPASE-RXN_xrefs				Q9ZEA9																									
ATPASE-RXN_xrefs				O84115																									
ATPASE-RXN_xrefs				O51558																									
ATPASE-RXN_xrefs				O27798																									
ATPASE-RXN_xrefs				P47481																									
ATPASE-RXN_xrefs				P63284																									
ATPASE-RXN_xrefs				Q9ZN31																									
ATPASE-RXN_xrefs				Q9ZMH1																									
ATPASE-RXN_xrefs				O84288																									
ATPASE-RXN_xrefs				O84348																									
ATPASE-RXN_xrefs				P63288																									
ATPASE-RXN_xrefs				P55995																									
ATPASE-RXN_xrefs				P17422																									
ATPASE-RXN_xrefs				Q9Z9F4																									
ATPASE-RXN_xrefs				O83536																									
ATPASE-RXN_xrefs				O67325																									
ATPASE-RXN_xrefs				P31542																									
ATPASE-RXN_xrefs				Q9X1W8																									
ATPASE-RXN_xrefs				Q9ZJL3																									
ATPASE-RXN_xrefs				Q9ZD92																									
ATPASE-RXN_xrefs				O66605																									
ATPASE-RXN_xrefs				O51774																									
ATPASE-RXN_xrefs				O24875																									
ATPASE-RXN_xrefs				P43864																									
ATPASE-RXN_xrefs				Q24368																									
ATPASE-RXN_xrefs				P36773																									
ATPASE-RXN_xrefs				P36774																									
ATPASE-RXN_xrefs				P31541																									
ATPASE-RXN_xrefs				Q39575																									
ATPASE-RXN_xrefs				P36022																									
ATPASE-RXN_xrefs				P23098																									
ATPASE-RXN_xrefs				P39057																									
ATPASE-RXN_xrefs				P45443																									
ATPASE-RXN_xrefs				P37276																									
ATPASE-RXN_xrefs				P45444																									
ATPASE-RXN_xrefs				Q14204																									
ATPASE-RXN_xrefs				P34036																									
ATPASE-RXN_xrefs				P38650																									
ATPASE-RXN_xrefs				Q27803																									
PWY-6173_xrefs						map00340																							
PWY0-1391_xrefs											PWY0-1391																		
PRISTANATE_xrefs																		20171482							77268	20849056			
CPD-8978_xrefs			MTBLC59760						HMDB12228									10632660							59760	12691392			
PWY0-1301_xrefs											PWY0-1301																		
CPD-13768_xrefs																									63323	56927807			
CPDQT-520_xrefs																										90658639			
CPD-1105_xrefs																						C01214			57671	25246244			
RXN-37_xrefs																	R05050				31231								
1-CARBOXYVINYL-CARBOXYPHOSPHONATE_xrefs																		10306740				C06367			57999	21722340			
