entity_xref	has_metadata@xref	concerns@reaction	concerns@pathway	concerns@compound
CPD-11410_xrefs___CPD-11410	CPD-11410_xrefs			CPD-11410
CPD-18092_xrefs___CPD-18092	CPD-18092_xrefs			CPD-18092
CPD-12024_xrefs___CPD-12024	CPD-12024_xrefs			CPD-12024
CPD-4101_xrefs___CPD-4101	CPD-4101_xrefs			CPD-4101
CPD-9610_xrefs___CPD-9610	CPD-9610_xrefs			CPD-9610
CPD-54_xrefs___CPD-54	CPD-54_xrefs			CPD-54
CPD-10019_xrefs___CPD-10019	CPD-10019_xrefs			CPD-10019
CPD-11411_xrefs___CPD-11411	CPD-11411_xrefs			CPD-11411
CPD-541_xrefs___CPD-541	CPD-541_xrefs			CPD-541
CPD-17372_xrefs___CPD-17372	CPD-17372_xrefs			CPD-17372
CPD-9612_xrefs___CPD-9612	CPD-9612_xrefs			CPD-9612
FERULIC-ACID_xrefs___FERULIC-ACID	FERULIC-ACID_xrefs			FERULIC-ACID
CPD-12025_xrefs___CPD-12025	CPD-12025_xrefs			CPD-12025
CPD-17373_xrefs___CPD-17373	CPD-17373_xrefs			CPD-17373
2-OXOBUTANOATE_xrefs___2-OXOBUTANOATE	2-OXOBUTANOATE_xrefs			2-OXOBUTANOATE
QUEUINE_xrefs___QUEUINE	QUEUINE_xrefs			QUEUINE
CPD-11412_xrefs___CPD-11412	CPD-11412_xrefs			CPD-11412
CPD-10020_xrefs___CPD-10020	CPD-10020_xrefs			CPD-10020
FERULOYL-COA_xrefs___FERULOYL-COA	FERULOYL-COA_xrefs			FERULOYL-COA
MI-HEXAKISPHOSPHATE_xrefs___MI-HEXAKISPHOSPHATE	MI-HEXAKISPHOSPHATE_xrefs			MI-HEXAKISPHOSPHATE
CPD-412_xrefs___CPD-412	CPD-412_xrefs			CPD-412
CPD-12040_xrefs___CPD-12040	CPD-12040_xrefs			CPD-12040
CPD-17375_xrefs___CPD-17375	CPD-17375_xrefs			CPD-17375
CPD-4124_xrefs___CPD-4124	CPD-4124_xrefs			CPD-4124
2-OXOPROPYL-COM_xrefs___2-OXOPROPYL-COM	2-OXOPROPYL-COM_xrefs			2-OXOPROPYL-COM
L-ALA-GAMMA-D-GLU-DAP_xrefs___L-ALA-GAMMA-D-GLU-DAP	L-ALA-GAMMA-D-GLU-DAP_xrefs			L-ALA-GAMMA-D-GLU-DAP
AMMONIA_xrefs___AMMONIA	AMMONIA_xrefs			AMMONIA
CPD-543_xrefs___CPD-543	CPD-543_xrefs			CPD-543
CPD-9646_xrefs___CPD-9646	CPD-9646_xrefs			CPD-9646
CPD-17382_xrefs___CPD-17382	CPD-17382_xrefs			CPD-17382
OXALACETIC_ACID_xrefs___OXALACETIC_ACID	OXALACETIC_ACID_xrefs			OXALACETIC_ACID
ISOPHENOXAZINE_xrefs___ISOPHENOXAZINE	ISOPHENOXAZINE_xrefs			ISOPHENOXAZINE
UMP_xrefs___UMP	UMP_xrefs			UMP
CPD-8890_xrefs___CPD-8890	CPD-8890_xrefs			CPD-8890
CPD-202_xrefs___CPD-202	CPD-202_xrefs			CPD-202
CPD-12836_xrefs___CPD-12836	CPD-12836_xrefs			CPD-12836
VANILLIN_xrefs___VANILLIN	VANILLIN_xrefs			VANILLIN
N1-METHYLADENINE_xrefs___N1-METHYLADENINE	N1-METHYLADENINE_xrefs			N1-METHYLADENINE
CPD-2022_xrefs___CPD-2022	CPD-2022_xrefs			CPD-2022
EPISTEROL_xrefs___EPISTEROL	EPISTEROL_xrefs			EPISTEROL
CPD-14424_xrefs___CPD-14424	CPD-14424_xrefs			CPD-14424
IMINOASPARTATE_xrefs___IMINOASPARTATE	IMINOASPARTATE_xrefs			IMINOASPARTATE
MENADIOL_xrefs___MENADIOL	MENADIOL_xrefs			MENADIOL
H2CO3_xrefs___H2CO3	H2CO3_xrefs			H2CO3
GAMMA-LINOLENOYL-COA_xrefs___GAMMA-LINOLENOYL-COA	GAMMA-LINOLENOYL-COA_xrefs			GAMMA-LINOLENOYL-COA
CPD-7727_xrefs___CPD-7727	CPD-7727_xrefs			CPD-7727
PYRIDOXINE_xrefs___PYRIDOXINE	PYRIDOXINE_xrefs			PYRIDOXINE
CPD-14425_xrefs___CPD-14425	CPD-14425_xrefs			CPD-14425
EPOXYSQUALENE_xrefs___EPOXYSQUALENE	EPOXYSQUALENE_xrefs			EPOXYSQUALENE
UNDECAPRENYL-DIPHOSPHATE_xrefs___UNDECAPRENYL-DIPHOSPHATE	UNDECAPRENYL-DIPHOSPHATE_xrefs			UNDECAPRENYL-DIPHOSPHATE
CPD-7737_xrefs___CPD-7737	CPD-7737_xrefs			CPD-7737
ERGOSTEROL_xrefs___ERGOSTEROL	ERGOSTEROL_xrefs			ERGOSTEROL
CPD-8892_xrefs___CPD-8892	CPD-8892_xrefs			CPD-8892
CPD-204_xrefs___CPD-204	CPD-204_xrefs			CPD-204
CPD-14426_xrefs___CPD-14426	CPD-14426_xrefs			CPD-14426
CPD-703_xrefs___CPD-703	CPD-703_xrefs			CPD-703
CPD-12852_xrefs___CPD-12852	CPD-12852_xrefs			CPD-12852
PYRIDOXINE-5P_xrefs___PYRIDOXINE-5P	PYRIDOXINE-5P_xrefs			PYRIDOXINE-5P
CPD-7031_xrefs___CPD-7031	CPD-7031_xrefs			CPD-7031
N3-METHYLCYTOSINE_xrefs___N3-METHYLCYTOSINE	N3-METHYLCYTOSINE_xrefs			N3-METHYLCYTOSINE
CPD-13935_xrefs___CPD-13935	CPD-13935_xrefs			CPD-13935
CPD-12853_xrefs___CPD-12853	CPD-12853_xrefs			CPD-12853
CPD-14427_xrefs___CPD-14427	CPD-14427_xrefs			CPD-14427
CPD-206_xrefs___CPD-206	CPD-206_xrefs			CPD-206
D-HEXOSE-6-PHOSPHATE_xrefs___D-HEXOSE-6-PHOSPHATE	D-HEXOSE-6-PHOSPHATE_xrefs			D-HEXOSE-6-PHOSPHATE
NITRITE_xrefs___NITRITE	NITRITE_xrefs			NITRITE
CPD-782_xrefs___CPD-782	CPD-782_xrefs			CPD-782
HMP_xrefs___HMP	HMP_xrefs			HMP
CPD-8905_xrefs___CPD-8905	CPD-8905_xrefs			CPD-8905
IMP_xrefs___IMP	IMP_xrefs			IMP
CPD-7032_xrefs___CPD-7032	CPD-7032_xrefs			CPD-7032
ISOVALERYL-COA_xrefs___ISOVALERYL-COA	ISOVALERYL-COA_xrefs			ISOVALERYL-COA
MESACONATE_xrefs___MESACONATE	MESACONATE_xrefs			MESACONATE
CPD-12860_xrefs___CPD-12860	CPD-12860_xrefs			CPD-12860
GAP_xrefs___GAP	GAP_xrefs			GAP
VANILLYL_MANDELATE_xrefs___VANILLYL_MANDELATE	VANILLYL_MANDELATE_xrefs			VANILLYL_MANDELATE
CPD-13936_xrefs___CPD-13936	CPD-13936_xrefs			CPD-13936
CPD-207_xrefs___CPD-207	CPD-207_xrefs			CPD-207
ACETONE_xrefs___ACETONE	ACETONE_xrefs			ACETONE
CPD-13937_xrefs___CPD-13937	CPD-13937_xrefs			CPD-13937
CPD-8906_xrefs___CPD-8906	CPD-8906_xrefs			CPD-8906
ERYTHROSE-4P_xrefs___ERYTHROSE-4P	ERYTHROSE-4P_xrefs			ERYTHROSE-4P
CPD-7836_xrefs___CPD-7836	CPD-7836_xrefs			CPD-7836
CPD-7033_xrefs___CPD-7033	CPD-7033_xrefs			CPD-7033
MESO-DIAMINOPIMELATE_xrefs___MESO-DIAMINOPIMELATE	MESO-DIAMINOPIMELATE_xrefs			MESO-DIAMINOPIMELATE
D-LACTATE_xrefs___D-LACTATE	D-LACTATE_xrefs			D-LACTATE
CPD-7847_xrefs___CPD-7847	CPD-7847_xrefs			CPD-7847
CPD-8907_xrefs___CPD-8907	CPD-8907_xrefs			CPD-8907
CPD-7035_xrefs___CPD-7035	CPD-7035_xrefs			CPD-7035
CPD-208_xrefs___CPD-208	CPD-208_xrefs			CPD-208
BILIVERDINE_xrefs___BILIVERDINE	BILIVERDINE_xrefs			BILIVERDINE
MET_xrefs___MET	MET_xrefs			MET
CPD-14018_xrefs___CPD-14018	CPD-14018_xrefs			CPD-14018
3-KETO-ADIPYL-COA_xrefs___3-KETO-ADIPYL-COA	3-KETO-ADIPYL-COA_xrefs			3-KETO-ADIPYL-COA
CPD-14431_xrefs___CPD-14431	CPD-14431_xrefs			CPD-14431
3-UREIDO-PROPIONATE_xrefs___3-UREIDO-PROPIONATE	3-UREIDO-PROPIONATE_xrefs			3-UREIDO-PROPIONATE
CPD-15438_xrefs___CPD-15438	CPD-15438_xrefs			CPD-15438
1-CARBOXYVINYL-CARBOXYPHOSPHONATE_xrefs___1-CARBOXYVINYL-CARBOXYPHOSPHONATE	1-CARBOXYVINYL-CARBOXYPHOSPHONATE_xrefs			1-CARBOXYVINYL-CARBOXYPHOSPHONATE
MN+2_xrefs___MN+2	MN+2_xrefs			MN+2
3-B-D-GALACTOSYL-SN-GLYCEROL_xrefs___3-B-D-GALACTOSYL-SN-GLYCEROL	3-B-D-GALACTOSYL-SN-GLYCEROL_xrefs			3-B-D-GALACTOSYL-SN-GLYCEROL
OXALATE_xrefs___OXALATE	OXALATE_xrefs			OXALATE
CPD-13375_xrefs___CPD-13375	CPD-13375_xrefs			CPD-13375
S-COCLAURINE_xrefs___S-COCLAURINE	S-COCLAURINE_xrefs			S-COCLAURINE
CAFFEOYL-COA_xrefs___CAFFEOYL-COA	CAFFEOYL-COA_xrefs			CAFFEOYL-COA
CPD-824_xrefs___CPD-824	CPD-824_xrefs			CPD-824
MAL_xrefs___MAL	MAL_xrefs			MAL
HYDROXY-METHYL-BUTENYL-DIP_xrefs___HYDROXY-METHYL-BUTENYL-DIP	HYDROXY-METHYL-BUTENYL-DIP_xrefs			HYDROXY-METHYL-BUTENYL-DIP
CPD-15440_xrefs___CPD-15440	CPD-15440_xrefs			CPD-15440
L-ORNITHINE_xrefs___L-ORNITHINE	L-ORNITHINE_xrefs			L-ORNITHINE
CPD-8259_xrefs___CPD-8259	CPD-8259_xrefs			CPD-8259
CPD-13376_xrefs___CPD-13376	CPD-13376_xrefs			CPD-13376
CPD-15977_xrefs___CPD-15977	CPD-15977_xrefs			CPD-15977
GLYCOL_xrefs___GLYCOL	GLYCOL_xrefs			GLYCOL
1-CHLORO-24-DINITROBENZENE_xrefs___1-CHLORO-24-DINITROBENZENE	1-CHLORO-24-DINITROBENZENE_xrefs			1-CHLORO-24-DINITROBENZENE
CPD-155_xrefs___CPD-155	CPD-155_xrefs			CPD-155
CPD-13377_xrefs___CPD-13377	CPD-13377_xrefs			CPD-13377
CPD-15521_xrefs___CPD-15521	CPD-15521_xrefs			CPD-15521
CPD-13378_xrefs___CPD-13378	CPD-13378_xrefs			CPD-13378
SYRINGETIN_xrefs___SYRINGETIN	SYRINGETIN_xrefs			SYRINGETIN
CPD-8268_xrefs___CPD-8268	CPD-8268_xrefs			CPD-8268
HYDROXY-UREA_xrefs___HYDROXY-UREA	HYDROXY-UREA_xrefs			HYDROXY-UREA
CPD-15522_xrefs___CPD-15522	CPD-15522_xrefs			CPD-15522
CPD-13420_xrefs___CPD-13420	CPD-13420_xrefs			CPD-13420
CINNAMALDEHYDE_xrefs___CINNAMALDEHYDE	CINNAMALDEHYDE_xrefs			CINNAMALDEHYDE
3-BETA-HYDROXYANDROST-5-EN-17-ONE_xrefs___3-BETA-HYDROXYANDROST-5-EN-17-ONE	3-BETA-HYDROXYANDROST-5-EN-17-ONE_xrefs			3-BETA-HYDROXYANDROST-5-EN-17-ONE
S-HYDROXYMETHYLGLUTATHIONE_xrefs___S-HYDROXYMETHYLGLUTATHIONE	S-HYDROXYMETHYLGLUTATHIONE_xrefs			S-HYDROXYMETHYLGLUTATHIONE
MN+3_xrefs___MN+3	MN+3_xrefs			MN+3
10-DEACETYLBACCATIN-III_xrefs___10-DEACETYLBACCATIN-III	10-DEACETYLBACCATIN-III_xrefs			10-DEACETYLBACCATIN-III
HYDROXYBENZOQUINONE_xrefs___HYDROXYBENZOQUINONE	HYDROXYBENZOQUINONE_xrefs			HYDROXYBENZOQUINONE
1-ETHYLADENINE_xrefs___1-ETHYLADENINE	1-ETHYLADENINE_xrefs			1-ETHYLADENINE
AGMATHINE_xrefs___AGMATHINE	AGMATHINE_xrefs			AGMATHINE
PRISTANATE_xrefs___PRISTANATE	PRISTANATE_xrefs			PRISTANATE
S-LACTOYL-GLUTATHIONE_xrefs___S-LACTOYL-GLUTATHIONE	S-LACTOYL-GLUTATHIONE_xrefs			S-LACTOYL-GLUTATHIONE
CPD-13518_xrefs___CPD-13518	CPD-13518_xrefs			CPD-13518
CPD-8291_xrefs___CPD-8291	CPD-8291_xrefs			CPD-8291
1-KESTOTRIOSE_xrefs___1-KESTOTRIOSE	1-KESTOTRIOSE_xrefs			1-KESTOTRIOSE
CINNAMOYL-COA_xrefs___CINNAMOYL-COA	CINNAMOYL-COA_xrefs			CINNAMOYL-COA
GLYCOLALDEHYDE_xrefs___GLYCOLALDEHYDE	GLYCOLALDEHYDE_xrefs			GLYCOLALDEHYDE
1-KETO-2-METHYLVALERATE_xrefs___1-KETO-2-METHYLVALERATE	1-KETO-2-METHYLVALERATE_xrefs			1-KETO-2-METHYLVALERATE
CPD-13524_xrefs___CPD-13524	CPD-13524_xrefs			CPD-13524
CPD-15566_xrefs___CPD-15566	CPD-15566_xrefs			CPD-15566
L-PANTOATE_xrefs___L-PANTOATE	L-PANTOATE_xrefs			L-PANTOATE
THYMINE_xrefs___THYMINE	THYMINE_xrefs			THYMINE
PRO_xrefs___PRO	PRO_xrefs			PRO
CPD-15567_xrefs___CPD-15567	CPD-15567_xrefs			CPD-15567
3-CARBOXY-3-HYDROXY-ISOCAPROATE_xrefs___3-CARBOXY-3-HYDROXY-ISOCAPROATE	3-CARBOXY-3-HYDROXY-ISOCAPROATE_xrefs			3-CARBOXY-3-HYDROXY-ISOCAPROATE
CPD-13527_xrefs___CPD-13527	CPD-13527_xrefs			CPD-13527
MONO-VINYL-PROTOCHLOROPHYLLIDE-A_xrefs___MONO-VINYL-PROTOCHLOROPHYLLIDE-A	MONO-VINYL-PROTOCHLOROPHYLLIDE-A_xrefs			MONO-VINYL-PROTOCHLOROPHYLLIDE-A
S-N-METHYLCOCLAURINE_xrefs___S-N-METHYLCOCLAURINE	S-N-METHYLCOCLAURINE_xrefs			S-N-METHYLCOCLAURINE
CPD-15568_xrefs___CPD-15568	CPD-15568_xrefs			CPD-15568
CPD-8343_xrefs___CPD-8343	CPD-8343_xrefs			CPD-8343
MALEAMATE_xrefs___MALEAMATE	MALEAMATE_xrefs			MALEAMATE
PROGESTERONE_xrefs___PROGESTERONE	PROGESTERONE_xrefs			PROGESTERONE
1-L-MYO-INOSITOL-1-P_xrefs___1-L-MYO-INOSITOL-1-P	1-L-MYO-INOSITOL-1-P_xrefs			1-L-MYO-INOSITOL-1-P
CPD-13528_xrefs___CPD-13528	CPD-13528_xrefs			CPD-13528
NITROUS-OXIDE_xrefs___NITROUS-OXIDE	NITROUS-OXIDE_xrefs			NITROUS-OXIDE
HYDROXYMETHYLBILANE_xrefs___HYDROXYMETHYLBILANE	HYDROXYMETHYLBILANE_xrefs			HYDROXYMETHYLBILANE
CINNAMYL-ALC_xrefs___CINNAMYL-ALC	CINNAMYL-ALC_xrefs			CINNAMYL-ALC
CPD1F-131_xrefs___CPD1F-131	CPD1F-131_xrefs			CPD1F-131
CPD-1905_xrefs___CPD-1905	CPD-1905_xrefs			CPD-1905
CPD-10244_xrefs___CPD-10244	CPD-10244_xrefs			CPD-10244
CPD-336_xrefs___CPD-336	CPD-336_xrefs			CPD-336
CPD-10679_xrefs___CPD-10679	CPD-10679_xrefs			CPD-10679
PHOSPHORYL-ETHANOLAMINE_xrefs___PHOSPHORYL-ETHANOLAMINE	PHOSPHORYL-ETHANOLAMINE_xrefs			PHOSPHORYL-ETHANOLAMINE
CPD-4581_xrefs___CPD-4581	CPD-4581_xrefs			CPD-4581
GLUTARYL-COA_xrefs___GLUTARYL-COA	GLUTARYL-COA_xrefs			GLUTARYL-COA
TETRADECANOYL-COA_xrefs___TETRADECANOYL-COA	TETRADECANOYL-COA_xrefs			TETRADECANOYL-COA
CPD-10260_xrefs___CPD-10260	CPD-10260_xrefs			CPD-10260
CPD1F-132_xrefs___CPD1F-132	CPD1F-132_xrefs			CPD1F-132
URACIL_xrefs___URACIL	URACIL_xrefs			URACIL
CPD-5441_xrefs___CPD-5441	CPD-5441_xrefs			CPD-5441
DEAMIDO-NAD_xrefs___DEAMIDO-NAD	DEAMIDO-NAD_xrefs			DEAMIDO-NAD
CPD-1242_xrefs___CPD-1242	CPD-1242_xrefs			CPD-1242
PHOTINUS-LUCIFERIN_xrefs___PHOTINUS-LUCIFERIN	PHOTINUS-LUCIFERIN_xrefs			PHOTINUS-LUCIFERIN
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE_xrefs___ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	ALL-TRANS-HEXAPRENYL-DIPHOSPHATE_xrefs			ALL-TRANS-HEXAPRENYL-DIPHOSPHATE
CPD-10680_xrefs___CPD-10680	CPD-10680_xrefs			CPD-10680
L-SELENOCYSTEINE_xrefs___L-SELENOCYSTEINE	L-SELENOCYSTEINE_xrefs			L-SELENOCYSTEINE
CPDQT-29_xrefs___CPDQT-29	CPDQT-29_xrefs			CPDQT-29
SS-DIMETHYL-BETA-PROPIOTHETIN_xrefs___SS-DIMETHYL-BETA-PROPIOTHETIN	SS-DIMETHYL-BETA-PROPIOTHETIN_xrefs			SS-DIMETHYL-BETA-PROPIOTHETIN
CPD1F-133_xrefs___CPD1F-133	CPD1F-133_xrefs			CPD1F-133
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE_xrefs___2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE_xrefs			2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE
CPD-1909_xrefs___CPD-1909	CPD-1909_xrefs			CPD-1909
CPD-548_xrefs___CPD-548	CPD-548_xrefs			CPD-548
CPD-339_xrefs___CPD-339	CPD-339_xrefs			CPD-339
CPD-10681_xrefs___CPD-10681	CPD-10681_xrefs			CPD-10681
5-OXOPROLINE_xrefs___5-OXOPROLINE	5-OXOPROLINE_xrefs			5-OXOPROLINE
CPDQT-296_xrefs___CPDQT-296	CPDQT-296_xrefs			CPDQT-296
CPD-12480_xrefs___CPD-12480	CPD-12480_xrefs			CPD-12480
CPD-10261_xrefs___CPD-10261	CPD-10261_xrefs			CPD-10261
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE_xrefs___P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE_xrefs			P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
GLUTATHIONE_xrefs___GLUTATHIONE	GLUTATHIONE_xrefs			GLUTATHIONE
CPD1F-134_xrefs___CPD1F-134	CPD1F-134_xrefs			CPD1F-134
L-THREO-3-METHYL-ASPARTATE_xrefs___L-THREO-3-METHYL-ASPARTATE	L-THREO-3-METHYL-ASPARTATE_xrefs			L-THREO-3-METHYL-ASPARTATE
N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID_xrefs___N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID	N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID_xrefs			N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID
CPD-10687_xrefs___CPD-10687	CPD-10687_xrefs			CPD-10687
ALL-TRANS-PENTAPRENYL-DIPHOSPHATE_xrefs___ALL-TRANS-PENTAPRENYL-DIPHOSPHATE	ALL-TRANS-PENTAPRENYL-DIPHOSPHATE_xrefs			ALL-TRANS-PENTAPRENYL-DIPHOSPHATE
5-P-BETA-D-RIBOSYL-AMINE_xrefs___5-P-BETA-D-RIBOSYL-AMINE	5-P-BETA-D-RIBOSYL-AMINE_xrefs			5-P-BETA-D-RIBOSYL-AMINE
CPD-341_xrefs___CPD-341	CPD-341_xrefs			CPD-341
PHTYOSPHINGOSINE-1-P_xrefs___PHTYOSPHINGOSINE-1-P	PHTYOSPHINGOSINE-1-P_xrefs			PHTYOSPHINGOSINE-1-P
NMNH_xrefs___NMNH	NMNH_xrefs			NMNH
CPD-461_xrefs___CPD-461	CPD-461_xrefs			CPD-461
2-CARBOXY-D-ARABINITOL_xrefs___2-CARBOXY-D-ARABINITOL	2-CARBOXY-D-ARABINITOL_xrefs			2-CARBOXY-D-ARABINITOL
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE_xrefs___DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE_xrefs			DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE_xrefs___2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE	2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE_xrefs			2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE
CPD-4614_xrefs___CPD-4614	CPD-4614_xrefs			CPD-4614
CPD-10262_xrefs___CPD-10262	CPD-10262_xrefs			CPD-10262
THF_xrefs___THF	THF_xrefs			THF
CPD-12481_xrefs___CPD-12481	CPD-12481_xrefs			CPD-12481
3-KETOBUTYRATE_xrefs___3-KETOBUTYRATE	3-KETOBUTYRATE_xrefs			3-KETOBUTYRATE
L-THYROXINE_xrefs___L-THYROXINE	L-THYROXINE_xrefs			L-THYROXINE
CPDQT-30_xrefs___CPDQT-30	CPDQT-30_xrefs			CPDQT-30
ALLANTOATE_xrefs___ALLANTOATE	ALLANTOATE_xrefs			ALLANTOATE
PHYTOENE_xrefs___PHYTOENE	PHYTOENE_xrefs			PHYTOENE
CPD-10689_xrefs___CPD-10689	CPD-10689_xrefs			CPD-10689
CPDQT-300_xrefs___CPDQT-300	CPDQT-300_xrefs			CPDQT-300
CPD-553_xrefs___CPD-553	CPD-553_xrefs			CPD-553
DEHYDROQUINATE_xrefs___DEHYDROQUINATE	DEHYDROQUINATE_xrefs			DEHYDROQUINATE
L-XYLULOSE_xrefs___L-XYLULOSE	L-XYLULOSE_xrefs			L-XYLULOSE
CPD-342_xrefs___CPD-342	CPD-342_xrefs			CPD-342
L-XYLULOSE-5-P_xrefs___L-XYLULOSE-5-P	L-XYLULOSE-5-P_xrefs			L-XYLULOSE-5-P
3-KETOLACTOSE_xrefs___3-KETOLACTOSE	3-KETOLACTOSE_xrefs			3-KETOLACTOSE
CPD-10263_xrefs___CPD-10263	CPD-10263_xrefs			CPD-10263
CPD1F-136_xrefs___CPD1F-136	CPD1F-136_xrefs			CPD1F-136
DEHYDROSPHINGANINE_xrefs___DEHYDROSPHINGANINE	DEHYDROSPHINGANINE_xrefs			DEHYDROSPHINGANINE
STEARIC_ACID_xrefs___STEARIC_ACID	STEARIC_ACID_xrefs			STEARIC_ACID
N-5-PHOSPHORIBOSYL-ANTHRANILATE_xrefs___N-5-PHOSPHORIBOSYL-ANTHRANILATE	N-5-PHOSPHORIBOSYL-ANTHRANILATE_xrefs			N-5-PHOSPHORIBOSYL-ANTHRANILATE
CPD-12482_xrefs___CPD-12482	CPD-12482_xrefs			CPD-12482
CPD-4617_xrefs___CPD-4617	CPD-4617_xrefs			CPD-4617
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE_xrefs___5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE_xrefs			5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE
CPD-556_xrefs___CPD-556	CPD-556_xrefs			CPD-556
GLUCONATE_xrefs___GLUCONATE	GLUCONATE_xrefs			GLUCONATE
N-6-AMINOHEXANOYL-6-AMINOHEXANOATE_xrefs___N-6-AMINOHEXANOYL-6-AMINOHEXANOATE	N-6-AMINOHEXANOYL-6-AMINOHEXANOATE_xrefs			N-6-AMINOHEXANOYL-6-AMINOHEXANOATE
OXALO-SUCCINATE_xrefs___OXALO-SUCCINATE	OXALO-SUCCINATE_xrefs			OXALO-SUCCINATE
PHYTOL_xrefs___PHYTOL	PHYTOL_xrefs			PHYTOL
CPD-10267_xrefs___CPD-10267	CPD-10267_xrefs			CPD-10267
2-CHLOROETHANOL_xrefs___2-CHLOROETHANOL	2-CHLOROETHANOL_xrefs			2-CHLOROETHANOL
CPD1F-137_xrefs___CPD1F-137	CPD1F-137_xrefs			CPD1F-137
URATE_xrefs___URATE	URATE_xrefs			URATE
CPD-348_xrefs___CPD-348	CPD-348_xrefs			CPD-348
CPD-3481_xrefs___CPD-3481	CPD-3481_xrefs			CPD-3481
CPD-107_xrefs___CPD-107	CPD-107_xrefs			CPD-107
CPD-12483_xrefs___CPD-12483	CPD-12483_xrefs			CPD-12483
NN-DIMETHYLANILINE_xrefs___NN-DIMETHYLANILINE	NN-DIMETHYLANILINE_xrefs			NN-DIMETHYLANILINE
NN-DIMETHYLANILINE-N-OXIDE_xrefs___NN-DIMETHYLANILINE-N-OXIDE	NN-DIMETHYLANILINE-N-OXIDE_xrefs			NN-DIMETHYLANILINE-N-OXIDE
DIHYDROXY-ACETONE-PHOSPHATE_xrefs___DIHYDROXY-ACETONE-PHOSPHATE	DIHYDROXY-ACETONE-PHOSPHATE_xrefs			DIHYDROXY-ACETONE-PHOSPHATE
CPD-7272_xrefs___CPD-7272	CPD-7272_xrefs			CPD-7272
CPD-12041_xrefs___CPD-12041	CPD-12041_xrefs			CPD-12041
CPD-17383_xrefs___CPD-17383	CPD-17383_xrefs			CPD-17383
DIHYDROXY-BUTANONE-P_xrefs___DIHYDROXY-BUTANONE-P	DIHYDROXY-BUTANONE-P_xrefs			DIHYDROXY-BUTANONE-P
CPD-15_xrefs___CPD-15	CPD-15_xrefs			CPD-15
AMMONIUM_xrefs___AMMONIUM	AMMONIUM_xrefs			AMMONIUM
CPD-17385_xrefs___CPD-17385	CPD-17385_xrefs			CPD-17385
CPD-7275_xrefs___CPD-7275	CPD-7275_xrefs			CPD-7275
VICIANOSE_xrefs___VICIANOSE	VICIANOSE_xrefs			VICIANOSE
CPD-15052_xrefs___CPD-15052	CPD-15052_xrefs			CPD-15052
CPD-12045_xrefs___CPD-12045	CPD-12045_xrefs			CPD-12045
CPD-660_xrefs___CPD-660	CPD-660_xrefs			CPD-660
CPD-14378_xrefs___CPD-14378	CPD-14378_xrefs			CPD-14378
CPD-17386_xrefs___CPD-17386	CPD-17386_xrefs			CPD-17386
DIHYDROXYACETONE_xrefs___DIHYDROXYACETONE	DIHYDROXYACETONE_xrefs			DIHYDROXYACETONE
CPD-15056_xrefs___CPD-15056	CPD-15056_xrefs			CPD-15056
OXALYL-COA_xrefs___OXALYL-COA	OXALYL-COA_xrefs			OXALYL-COA
CPD-12046_xrefs___CPD-12046	CPD-12046_xrefs			CPD-12046
VIOMYCIN_xrefs___VIOMYCIN	VIOMYCIN_xrefs			VIOMYCIN
CPD-7279_xrefs___CPD-7279	CPD-7279_xrefs			CPD-7279
HOMO-CIS-ACONITATE_xrefs___HOMO-CIS-ACONITATE	HOMO-CIS-ACONITATE_xrefs			HOMO-CIS-ACONITATE
AMP_xrefs___AMP	AMP_xrefs			AMP
2-PG_xrefs___2-PG	2-PG_xrefs			2-PG
CPD-17387_xrefs___CPD-17387	CPD-17387_xrefs			CPD-17387
CPD-15063_xrefs___CPD-15063	CPD-15063_xrefs			CPD-15063
CPD-661_xrefs___CPD-661	CPD-661_xrefs			CPD-661
MALEATE_xrefs___MALEATE	MALEATE_xrefs			MALEATE
