entity_xref	has_metadata@xref	concerns@reaction	concerns@pathway	concerns@compound
2.1.1.71-RXN_xrefs_2.1.1.71-RXN__	2.1.1.71-RXN_xrefs	2.1.1.71-RXN		
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN_xrefs_MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN__	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN_xrefs	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN		
RXN1F-28_xrefs_RXN1F-28__	RXN1F-28_xrefs	RXN1F-28		
3.4.22.25-RXN_xrefs_3.4.22.25-RXN__	3.4.22.25-RXN_xrefs	3.4.22.25-RXN		
RXN0-6274_xrefs_RXN0-6274__	RXN0-6274_xrefs	RXN0-6274		
TRYPTOPHAN-AMINOTRANSFERASE-RXN_xrefs_TRYPTOPHAN-AMINOTRANSFERASE-RXN__	TRYPTOPHAN-AMINOTRANSFERASE-RXN_xrefs	TRYPTOPHAN-AMINOTRANSFERASE-RXN		
1.3.1.9-RXN_xrefs_1.3.1.9-RXN__	1.3.1.9-RXN_xrefs	1.3.1.9-RXN		
ISOCIT-CLEAV-RXN_xrefs_ISOCIT-CLEAV-RXN__	ISOCIT-CLEAV-RXN_xrefs	ISOCIT-CLEAV-RXN		
UREASE-RXN_xrefs_UREASE-RXN__	UREASE-RXN_xrefs	UREASE-RXN		
RXN-4209_xrefs_RXN-4209__	RXN-4209_xrefs	RXN-4209		
RXN-13139_xrefs_RXN-13139__	RXN-13139_xrefs	RXN-13139		
RXN490-3641_xrefs_RXN490-3641__	RXN490-3641_xrefs	RXN490-3641		
RXN0-1441_xrefs_RXN0-1441__	RXN0-1441_xrefs	RXN0-1441		
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN_xrefs_POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN__	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN_xrefs	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN		
XMPXAN-RXN_xrefs_XMPXAN-RXN__	XMPXAN-RXN_xrefs	XMPXAN-RXN		
METHYLENETHFDEHYDROG-NADP-RXN_xrefs_METHYLENETHFDEHYDROG-NADP-RXN__	METHYLENETHFDEHYDROG-NADP-RXN_xrefs	METHYLENETHFDEHYDROG-NADP-RXN		
DXPREDISOM-RXN_xrefs_DXPREDISOM-RXN__	DXPREDISOM-RXN_xrefs	DXPREDISOM-RXN		
ACETOOHBUTREDUCTOISOM-RXN_xrefs_ACETOOHBUTREDUCTOISOM-RXN__	ACETOOHBUTREDUCTOISOM-RXN_xrefs	ACETOOHBUTREDUCTOISOM-RXN		
RXN-9543_xrefs_RXN-9543__	RXN-9543_xrefs	RXN-9543		
3.1.1.72-RXN_xrefs_3.1.1.72-RXN__	3.1.1.72-RXN_xrefs	3.1.1.72-RXN		
RXN-12730_xrefs_RXN-12730__	RXN-12730_xrefs	RXN-12730		
RXN-8497_xrefs_RXN-8497__	RXN-8497_xrefs	RXN-8497		
RXN-698_xrefs_RXN-698__	RXN-698_xrefs	RXN-698		
RXN-11519_xrefs_RXN-11519__	RXN-11519_xrefs	RXN-11519		
THREDEHYD-RXN_xrefs_THREDEHYD-RXN__	THREDEHYD-RXN_xrefs	THREDEHYD-RXN		
RXN-12160_xrefs_RXN-12160__	RXN-12160_xrefs	RXN-12160		
RXN-8156_xrefs_RXN-8156__	RXN-8156_xrefs	RXN-8156		
2.7.1.68-RXN_xrefs_2.7.1.68-RXN__	2.7.1.68-RXN_xrefs	2.7.1.68-RXN		
CONIFERIN-BETA-GLUCOSIDASE-RXN_xrefs_CONIFERIN-BETA-GLUCOSIDASE-RXN__	CONIFERIN-BETA-GLUCOSIDASE-RXN_xrefs	CONIFERIN-BETA-GLUCOSIDASE-RXN		
12-OXOPHYTODIENOATE-REDUCTASE-RXN_xrefs_12-OXOPHYTODIENOATE-REDUCTASE-RXN__	12-OXOPHYTODIENOATE-REDUCTASE-RXN_xrefs	12-OXOPHYTODIENOATE-REDUCTASE-RXN		
LCYSDESULF-RXN_xrefs_LCYSDESULF-RXN__	LCYSDESULF-RXN_xrefs	LCYSDESULF-RXN		
THIAMINASE-RXN_xrefs_THIAMINASE-RXN__	THIAMINASE-RXN_xrefs	THIAMINASE-RXN		
RXN3O-4157_xrefs_RXN3O-4157__	RXN3O-4157_xrefs	RXN3O-4157		
DARAB5PISOM-RXN_xrefs_DARAB5PISOM-RXN__	DARAB5PISOM-RXN_xrefs	DARAB5PISOM-RXN		
CHOLESTENONE-5-ALPHA-REDUCTASE-RXN_xrefs_CHOLESTENONE-5-ALPHA-REDUCTASE-RXN__	CHOLESTENONE-5-ALPHA-REDUCTASE-RXN_xrefs	CHOLESTENONE-5-ALPHA-REDUCTASE-RXN		
RXN-15241_xrefs_RXN-15241__	RXN-15241_xrefs	RXN-15241		
R62-RXN_xrefs_R62-RXN__	R62-RXN_xrefs	R62-RXN		
GUANYL-KIN-RXN_xrefs_GUANYL-KIN-RXN__	GUANYL-KIN-RXN_xrefs	GUANYL-KIN-RXN		
RXN-11737_xrefs_RXN-11737__	RXN-11737_xrefs	RXN-11737		
12-ALPHA-L-FUCOSIDASE-RXN_xrefs_12-ALPHA-L-FUCOSIDASE-RXN__	12-ALPHA-L-FUCOSIDASE-RXN_xrefs	12-ALPHA-L-FUCOSIDASE-RXN		
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN_xrefs_H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN__	H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN_xrefs	H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN		
ATPPHOSPHORIBOSYLTRANS-RXN_xrefs_ATPPHOSPHORIBOSYLTRANS-RXN__	ATPPHOSPHORIBOSYLTRANS-RXN_xrefs	ATPPHOSPHORIBOSYLTRANS-RXN		
RXN-10642_xrefs_RXN-10642__	RXN-10642_xrefs	RXN-10642		
RXN-10038_xrefs_RXN-10038__	RXN-10038_xrefs	RXN-10038		
2.4.1.67-RXN_xrefs_2.4.1.67-RXN__	2.4.1.67-RXN_xrefs	2.4.1.67-RXN		
5-METHYLTHIORIBOSE-KINASE-RXN_xrefs_5-METHYLTHIORIBOSE-KINASE-RXN__	5-METHYLTHIORIBOSE-KINASE-RXN_xrefs	5-METHYLTHIORIBOSE-KINASE-RXN		
CERAMIDE-GLUCOSYLTRANSFERASE-RXN_xrefs_CERAMIDE-GLUCOSYLTRANSFERASE-RXN__	CERAMIDE-GLUCOSYLTRANSFERASE-RXN_xrefs	CERAMIDE-GLUCOSYLTRANSFERASE-RXN		
METHYLVALERATE-RXN_xrefs_METHYLVALERATE-RXN__	METHYLVALERATE-RXN_xrefs	METHYLVALERATE-RXN		
2.7.7.39-RXN_xrefs_2.7.7.39-RXN__	2.7.7.39-RXN_xrefs	2.7.7.39-RXN		
1.14.11.2-RXN_xrefs_1.14.11.2-RXN__	1.14.11.2-RXN_xrefs	1.14.11.2-RXN		
2.7.4.10-RXN_xrefs_2.7.4.10-RXN__	2.7.4.10-RXN_xrefs	2.7.4.10-RXN		
STRICTOSIDINE-SYNTHASE-RXN_xrefs_STRICTOSIDINE-SYNTHASE-RXN__	STRICTOSIDINE-SYNTHASE-RXN_xrefs	STRICTOSIDINE-SYNTHASE-RXN		
RIBOFLAVINKIN-RXN_xrefs_RIBOFLAVINKIN-RXN__	RIBOFLAVINKIN-RXN_xrefs	RIBOFLAVINKIN-RXN		
6PGLUCONDEHYDROG-RXN_xrefs_6PGLUCONDEHYDROG-RXN__	6PGLUCONDEHYDROG-RXN_xrefs	6PGLUCONDEHYDROG-RXN		
RXN-14136_xrefs_RXN-14136__	RXN-14136_xrefs	RXN-14136		
TRIOSEPISOMERIZATION-RXN_xrefs_TRIOSEPISOMERIZATION-RXN__	TRIOSEPISOMERIZATION-RXN_xrefs	TRIOSEPISOMERIZATION-RXN		
